SL.No,Date,Category,Sub category,Ward Name/No,Zone Name,Grievance Mode,Status
1,08-02-2020,Health Dept,Increase in mosquito density,Ulsoor/90,East,Sahaaya Helpline,CLOSED
2,08-02-2020,Health Dept,Unhygienic premises in Hotel etc,Varthur/149,Mahadevapura,Sahaaya App,CLOSED
3,08-02-2020,Health Dept,Air/Noise pollution,Rajarajeshwari Nagar/160,RRNagar,Nammabengaluru App,CLOSED
4,08-02-2020,Health Dept,Increase in mosquito density,Attiguppe/132,South,Sahaaya App,REJECTED
5,08-02-2020,Health Dept,Fogging,Jeevanbhima Nagar/88,East,Sahaaya App,CLOSED
6,09-02-2020,Health Dept,Fogging,Mahalakshmipuram/68,West,Sahaaya App,CLOSED
7,09-02-2020,Health Dept,Fogging,Attiguppe/132,South,Sahaaya App,CLOSED
8,09-02-2020,Health Dept,Fogging,Varthur/149,Mahadevapura,Sahaaya App,CLOSED
9,09-02-2020,Health Dept,Fogging,Byrasandra/169,South,BBMP Website,CLOSED
10,09-02-2020,Health Dept,Spraying,Newthippasandra/58,East,Sahaaya Helpline,CLOSED
11,09-02-2020,Health Dept,Fogging,Ulsoor/90,East,Sahaaya Helpline,CLOSED
12,09-02-2020,Health Dept,Fogging,Hegganahalli/71,Dasarahalli,Nammabengaluru App,RESOLVED
13,09-02-2020,Health Dept,Fogging,Ramamurthy Nagar/26,Mahadevapura,Sahaaya App,CLOSED
14,09-02-2020,Health Dept,Spraying,Hagadooru/84,Mahadevapura,Sahaaya App,CLOSED
15,09-02-2020,Health Dept,Fogging,Jogupalya/89,East,Sahaaya Helpline,CLOSED
16,09-02-2020,Health Dept,Spraying,Hoodi/54,Mahadevapura,Sahaaya App,CLOSED
17,09-02-2020,Health Dept,Fogging,Jogupalya/89,East,Sahaaya Helpline,CLOSED
18,09-02-2020,Health Dept,Unhygienic premises in Hotel etc,Hosakerehalli/161,South,Nammabengaluru App,CLOSED
19,09-02-2020,Health Dept,Unhygienic premises in Hotel etc,Ganeshmandira Ward/165,South,Nammabengaluru App,REJECTED
20,10-02-2020,Health Dept,Fogging,Doddanekkundi/85,Mahadevapura,Sahaaya Helpline,CLOSED
21,11-02-2020,Health Dept,Air/Noise pollution,Hongasandra/189,Bommanahalli,Sahaaya Helpline,CLOSED
22,11-02-2020,Health Dept,Fogging,Kempegowda Ward/1,Yelahanka,Sahaaya App,CLOSED
23,11-02-2020,Health Dept,Increase in mosquito density,Vasanthapura/197,Bommanahalli,Nammabengaluru App,REJECTED
24,11-02-2020,Health Dept,Unhygienic premises in Hotel etc,Mahalakshmipuram/68,West,Sahaaya App,CLOSED
25,11-02-2020,Health Dept,Delay in issue of Trade licence,Dayananda Nagar/97,West,Sahaaya Helpline,CLOSED
26,11-02-2020,Health Dept,Delay in issue of Trade licence,Jakkur/5,Yelahanka,Sahaaya Helpline,CLOSED
27,11-02-2020,Health Dept,Delay in issue of Trade licence,Rajarajeshwari Nagar/160,RRNagar,Sahaaya Helpline,CLOSED
28,11-02-2020,Health Dept,Unhygienic premises in Hotel etc,Rajamahal/64,West,Sahaaya Helpline,CLOSED
